ID,Rank,Enrollment,School,Location
1,1,"14,153",Electronic Classroom of Tomorrow,"Columbus, OH"
2,2,"13,916",Georgia Cyber Academy,"Atlanta, GA"
3,3,"11,372",Noble Street Charter Schools,"Chicago, IL"
4,4,"9,466",Ohio Virtual Academy,"Maumee, OH"
5,5,"9,058",Pennsylvania Cyber Cs,"Midland, PA"
6,6,"8,877",Commonwealth Connections Academy Cs,"Harrisburg, PA"
7,7,"8,404",Chicago International Charter,"Chicago, IL"
8,8,"8,153",Agora Cyber Cs,"King of Prussia, PA"
9,9,"8,015",Uno Academy Charter Schools,"Chicago, IL"
10,10,"5,833",River Springs Charter,"Temecula, CA"
11,11,"5,778",Somerset Academy of Las Vegas,"North Las Vegas, NV"
12,12,"5,534",Brooklyn Technical High School,"Brooklyn, NY"
13,13,"5,338",Visions in Education,"Carmichael, CA"
14,14,"5,109",Texas Connections Academy at Houston,"Houston, TX"
15,15,"4,930",Carmel High School,"Carmel, IN"
16,16,"4,794",Paramount High School,"Paramount, CA"
17,17,"4,746",Allen High School,"Allen, TX"
18,18,"4,729",Skyline High School,"Dallas, TX"
19,19,"4,641",North Shore Senior High School,"Houston, TX"
20,20,"4,601",Cypress Bay High School,"Weston, FL"
21,21,"4,562",Waukegan High School,"Waukegan, IL"
22,22,"4,558",Brentwood High School,"Brentwood, NY"
23,23,"4,512",Bentonville High School,"Bentonville, AR"
24,24,"4,480",Granada Hills Charter High School,"Granada Hills, CA"
25,25,"4,398",Fort Hamilton High School,"Brooklyn, NY"
26,26,"4,377",Lewisville High School,"Lewisville, TX"
27,27,"4,370",Polytechnic High School,"Long Beach, CA"
28,28,"4,290",Francis Lewis High School,"Fresh Meadows, NY"
29,29,"4,274",Downey High School,"Downey, CA"
30,30,"4,268",The Woodlands High School,"The Woodlands, TX"
31,31,"4,250",Brockton High School,"Brockton, MA"
32,32,"4,242",United High School,"Laredo, TX"
33,33,"4,213",John A. Ferguson Senior High School,"Miami, FL"
34,34,"4,197",Warren Township High School,"Gurnee, IL"
35,35,"4,190",Lake Braddock Secondary,"Burke, VA"
36,36,"4,184",Dobie High School,"Houston, TX"
37,37,"4,152",Duncanville High School,"Duncanville, TX"
38,38,"4,142",Elsik High School,"Houston, TX"
39,39,"4,142",Central High East Campus,"Fresno, CA"
40,40,"4,124",West Orange High School,"Winter Garden, FL"
41,41,"4,094",Deer Park High School,"Deer Park, TX"
42,42,"4,079",Eleanor Roosevelt High School,"Eastvale, CA"
43,43,"4,070",Goal Academy,"Pueblo, CO"
44,44,"4,068",Wando High School,"Mount Pleasant, SC"
45,45,"4,049",Lane Technical High School,"Chicago, IL"
46,46,"4,028",Klein Oak High School,"Spring, TX"
47,47,"4,003",Midwood High School,"Brooklyn, NY"
48,48,"3,998",Mill Creek High School,"Hoschton, GA"
49,49,"3,997",Interior Distance Education of Alaska (idea),"Fairbanks, AK"
50,50,"3,989",North Star Academy Charter School,"Newark, NJ"
51,51,"3,985",Lyons Twp High School,"La Grange, IL"
52,52,"3,979",Odessa High School,"Odessa, TX"
53,53,"3,956",Klein High School,"Klein, TX"
